Area,Price,BHK_Count,Rate per sqft,Status,Property Type,Locality,Builder Name,RERA Approval,,Socity,Company Name,Flat Type
1310,23300000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1250,22200000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1261,27800000,2,22124,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1261,27800000,2,22124,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1990,44000000,3,22110,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1990,44000000,3,22110,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,First Bricks,Not approved by RERA,, M3M Heights,M3M,Apartment
1433,31600000,2,22120,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,First Bricks,Not approved by RERA,, M3M Heights,M3M,Apartment
1433,31600000,2,22120,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,First Bricks,Not approved by RERA,, M3M Heights,M3M,Apartment
10000,450000000,5,45000,Ready to move,5 BHK Apartment in DLF The Aralias,Sector 42,First Bricks,Not approved by RERA,, DLF The Aralias,DLF,Apartment
2450,33000000,4,13469,Ready to move,4 BHK Independent Floor in Raheja Sushant Lok 1 Floors,Sector 43,home,Not approved by RERA,, Raheja Sushant Lok 1 Floors,Raheja,Floor
3600,39500000,4,10972,Ready to move,4 BHK Independent Floor,Sector 25,Property In Gurgaon,Not approved by RERA,,Outside Socity,Outside,Plot
3000,17000000,4,5666,Ready to move,4 BHK Apartment in Ashley White Housz Floors 1,Sector 46,properties for sale in Gurgaon,Not approved by RERA,, Ashley White Housz Floors 1,Ashley,Apartment
1800,15500000,3,8611,Ready to move,3 BHK Apartment in Ashley White Housz Floors 1,Sector 46,seller,Not approved by RERA,, Ashley White Housz Floors 1,Ashley,Apartment
